 ,Area,Mean,Min,Max,Major,Minor,Angle,%Area
500,370,255,255,255,23.617,19.948,8.058,100
501,278,255,255,255,19.968,17.726,168.557,100
502,274,255,255,255,19.791,17.628,8.562,100
503,247,255,255,255,20.414,15.405,156.705,100
504,282,255,255,255,19.992,17.960,170.588,100
505,421,255,255,255,24.541,21.842,163.338,100
506,282,255,255,255,23.113,15.535,36.684,100
507,196,255,255,255,19.592,12.738,177.003,100
508,222,255,255,255,18.160,15.565,143.657,100
509,404,255,255,255,24.140,21.308,124.140,100
510,395,255,255,255,24.856,20.234,157.809,100
511,286,255,255,255,20.900,17.423,124.496,100
512,22,255,255,255,7.849,3.569,82.674,100
513,434,255,255,255,24.530,22.527,152.311,100
514,227,255,255,255,18.064,16.000,121.831,100
515,369,255,255,255,25.399,18.498,42.193,100
516,317,255,255,255,23.415,17.237,125.312,100
517,218,255,255,255,18.250,15.209,172.584,100
518,432,255,255,255,27.268,20.172,79.826,100
519,387,255,255,255,26.636,18.499,153.024,100
520,457,255,255,255,25.121,23.163,78.442,100
521,314,255,255,255,21.666,18.452,108.206,100
522,339,255,255,255,22.974,18.788,49.861,100
523,268,255,255,255,20.936,16.298,90.648,100
524,305,255,255,255,22.092,17.578,148.357,100
525,223,255,255,255,18.089,15.697,166.140,100
526,217,255,255,255,17.986,15.361,108.310,100
527,301,255,255,255,19.991,19.171,154.281,100
528,217,255,255,255,20.644,13.384,84.774,100
529,225,255,255,255,17.220,16.636,114.623,100
530,234,255,255,255,18.883,15.778,76.146,100
531,246,255,255,255,18.252,17.160,124.682,100
532,483,255,255,255,26.578,23.138,43.777,100
533,246,255,255,255,20.458,15.311,131.139,100
534,380,255,255,255,24.007,20.153,32.202,100
535,244,255,255,255,20.526,15.135,134.834,100
536,62,255,255,255,11.870,6.651,172.822,100
537,432,255,255,255,26.939,20.418,108.317,100
538,276,255,255,255,19.465,18.054,117.650,100
539,396,255,255,255,24.654,20.451,7.747,100
540,299,255,255,255,19.915,19.117,27.673,100
541,264,255,255,255,19.757,17.013,58.661,100
542,260,255,255,255,21.317,15.530,138.986,100
